player,year,par_4_avg,par_5_avg,drive_avg
Aaron Baddeley,2024,4.06,4.67,283.4
Aaron Baddeley,2025,4.05,4.68,292.6
Aaron Rai,2024,3.92,4.33,293.8
Aaron Rai,2025,3.97,4.54,281.9
Adam Hadwin,2024,3.91,4.53,297.6
Adam Hadwin,2025,4.04,4.61,291.4
Adam Schenk,2024,4.03,4.46,302.1
Adam Schenk,2025,4.04,4.61,315.6
Adam Scott,2024,3.82,4.19,307.1
Adam Scott,2025,4.0,4.54,282.4
Adam Svensson,2024,4.0,4.54,297.4
Adam Svensson,2025,4.01,4.61,301.0
Adrien Dumont de Chassart,2024,3.99855614973262,4.565588235294118,302.6
Adrien Dumont de Chassart,2025,4.04,4.61,301.0192513368984
Akshay Bhatia,2024,3.82,4.5,299.8
Akshay Bhatia,2025,4.01,4.57,282.3
Aldrich Potgieter,2024,4.07,4.72,301.0192513368984
Aldrich Potgieter,2025,3.99855614973262,4.565588235294118,328.7
Alejandro Tosti,2024,3.96,4.61,315.6
Alejandro Tosti,2025,4.05,4.67,320.9
Alex Noren,2024,3.99855614973262,4.565588235294118,295.5
Alex Noren,2025,3.96,4.57,301.0192513368984
Alex Smalley,2024,3.9,4.38,307.5
Alex Smalley,2025,4.0,4.57,310.0
Anders Albertson,2024,3.94,4.65,301.0192513368984
Anders Albertson,2025,3.99855614973262,4.565588235294118,310.3
Andrew Novak,2024,4.1,4.41,298.7
Andrew Novak,2025,3.97,4.56,303.8
Andrew Putnam,2024,4.01,4.56,280.8
Andrew Putnam,2025,3.96,4.67,283.0
Antoine Rozner,2024,4.14,4.82,301.0192513368984
Antoine Rozner,2025,3.99855614973262,4.565588235294118,310.5
Austin Eckroat,2024,3.99,4.54,300.8
Austin Eckroat,2025,4.03,4.58,291.9
Austin Smotherman,2024,3.99855614973262,4.565588235294118,299.8
Austin Smotherman,2025,4.0,4.51,301.0192513368984
Beau Hossler,2024,4.0,4.47,302.7
Beau Hossler,2025,3.97,4.51,314.9
Ben Griffin,2024,3.94,4.47,295.6
Ben Griffin,2025,3.96,4.52,311.7
Ben Kohles,2024,3.9,4.67,290.9
Ben Kohles,2025,4.02,4.66,299.5
Ben Martin,2024,4.03,4.2,301.0192513368984
Ben Martin,2025,3.99855614973262,4.565588235294118,307.0
Ben Silverman,2024,4.07,4.5,293.9
Ben Silverman,2025,3.97,4.58,303.5
Ben Taylor,2024,3.99855614973262,4.565588235294118,299.4
Ben Taylor,2025,4.09,4.6,301.0192513368984
Bill Haas,2024,4.13,4.67,301.0192513368984
Bill Haas,2025,3.99855614973262,4.565588235294118,300.0
Billy Horschel,2024,3.95,4.36,299.4
Billy Horschel,2025,4.02,4.5,297.9
Blades Brown,2024,3.87,4.67,301.0192513368984
