player,year,par_4_avg,par_5_avg,drive_avg
Aaron Baddeley,2003,4.06,4.54,287.9
Aaron Baddeley,2004,4.15,4.69,288.0
Aaron Baddeley,2005,4.07,4.65,291.4
Aaron Baddeley,2006,4.1,4.64,288.3
Aaron Baddeley,2007,4.08,4.56,291.9
Aaron Baddeley,2008,4.05,4.61,290.3
Aaron Baddeley,2009,4.08,4.67,287.8
Aaron Baddeley,2010,4.01,4.69,298.9
Aaron Baddeley,2011,4.0,4.59,296.2
Aaron Baddeley,2012,4.08,4.65,292.0
Aaron Baddeley,2013,4.11,4.61,288.5
Aaron Baddeley,2014,4.08,4.62,293.8
Aaron Baddeley,2015,4.1,4.57,294.1
Aaron Baddeley,2016,4.01,4.64,291.7
Aaron Baddeley,2017,4.06,4.7,292.6
Aaron Baddeley,2018,4.03,4.67,295.3
Aaron Baddeley,2019,3.99,4.72,286.3
Aaron Baddeley,2020,4.0,4.7,284.9
Aaron Baddeley,2021,4.02,4.65,289.3
Aaron Baddeley,2023,3.97,4.64,281.7
Aaron Baddeley,2024,4.06,4.67,283.4
Aaron Baddeley,2025,4.05,4.68,292.6
Aaron Barber,2003,4.04,4.74,281.3
Aaron Bengoechea,2000,4.16,4.73,281.2
Aaron Rai,2022,4.02,4.58,295.4
Aaron Rai,2023,3.98,4.65,292.3
Aaron Rai,2024,3.92,4.33,293.8
Aaron Rai,2025,3.97,4.54,281.9
Aaron Watkins,2013,4.07,4.68,277.1
Aaron Wise,2018,4.0,4.63,302.9
Aaron Wise,2019,4.04,4.54,302.6
Aaron Wise,2020,4.05,4.58,301.5
Aaron Wise,2021,4.02,4.59,300.6
Aaron Wise,2022,3.99,4.55,308.3
Aaron Wise,2023,4.0,4.54,301.5
Abraham Ancer,2016,4.07,4.8,276.4
Abraham Ancer,2018,4.01,4.63,296.1
Abraham Ancer,2019,3.98,4.62,293.3
Abraham Ancer,2020,3.99,4.63,297.5
Abraham Ancer,2021,3.96,4.6,290.4
Abraham Ancer,2022,3.99,4.62,297.1
Adam Hadwin,2015,4.04,4.68,288.2
Adam Hadwin,2016,4.03,4.66,290.1
Adam Hadwin,2017,4.03,4.66,291.3
Adam Hadwin,2018,4.0,4.7,289.4
Adam Hadwin,2019,4.03,4.55,291.2
Adam Hadwin,2020,4.0,4.67,294.0
Adam Hadwin,2021,4.06,4.71,293.4
Adam Hadwin,2022,4.01,4.6,297.2
Adam Hadwin,2023,4.03,4.54,293.6
Adam Hadwin,2024,3.91,4.53,297.6
Adam Hadwin,2025,4.04,4.61,291.4
Adam Long,2019,4.06,4.67,292.0
Adam Long,2020,3.99,4.62,292.0
Adam Long,2021,4.04,4.69,288.6
Adam Long,2022,3.99,4.69,291.6
Adam Long,2023,4.06,4.61,289.2
Adam Schenk,2018,4.06,4.68,305.5
Adam Schenk,2019,4.01,4.59,300.8
Adam Schenk,2020,3.99,4.59,302.0
Adam Schenk,2021,4.02,4.61,299.5
Adam Schenk,2022,4.07,4.69,304.0
