player,year,par_4_avg,par_5_avg,drive_avg
Payne Stewart,1987,3.98,4.65,269.9
Dan Pohl,1987,3.98,4.63,273.0
Lanny Wadkins,1987,3.97,4.74,253.3
Paul Azinger,1987,3.98,4.63,269.5
David Frost,1987,3.98,4.64,259.2
Bernhard Langer,1987,3.98,4.69,260.3
Curtis Strange,1987,3.99,4.73,260.6
Hal Sutton,1987,3.99,4.67,263.9
Scott Hoch,1987,4.00,4.69,261.4
Mark O'Meara,1987,4.00,4.74,260.3
Steve Pate,1987,4.00,4.69,270.7
Craig Stadler,1987,4.00,4.67,274.0
Tom Kite,1987,4.00,4.63,255.1
Fred Couples,1987,4.00,4.64,276.8
Tom Watson,1987,4.01,4.67,269.6
Ben Crenshaw,1987,4.01,4.7,263.0
Gil Morgan,1987,4.02,4.76,265.5
Greg Norman,1987,4.02,4.66,278.2
Bobby Wadkins,1987,4.01,4.65,266.6
Hale Irwin,1987,4.02,4.76,255.3
Corey Pavin,1987,4.02,4.82,250.3
Mike Reid,1987,4.01,4.77,247.9
Richard Zokol,1987,4.02,4.74,256.1
Larry Mize,1987,4.02,4.69,258.8
Dave Barr,1987,4.02,4.73,264.4
Don Pooley,1987,4.02,4.7,256.0
Fuzzy Zoeller,1987,4.02,4.71,263.4
Larry Nelson,1987,4.03,4.75,259.0
John Mahaffey,1987,4.02,4.74,264.6
Scott Simpson,1987,4.02,4.72,250.9
Jack Renner,1987,4.02,4.77,248.2
Jay Haas,1987,4.02,4.75,257.7
Nick Price,1987,4.04,4.67,264.2
T.C. Chen,1987,4.05,4.76,259.5
Mark McCumber,1987,4.03,4.64,267.1
Frank Conner,1987,4.06,4.78,260.9
John Cook,1987,4.03,4.77,253.5
Ed Dougherty,1987,4.04,4.74,266.3
Raymond Floyd,1987,4.05,4.77,259.1
Billy Pierot,1987,4.05,4.75,260.3
Chip Beck,1987,4.03,4.65,262.6
Ed Fiori,1987,4.04,4.7,252.9
Dick Mast,1987,4.03,4.77,259.9
Ken Brown,1987,4.05,4.76,256.3
Danny Edwards,1987,4.04,4.74,257.7
Calvin Peete,1987,4.05,4.81,249.6
Mark Calcavecchia,1987,4.04,4.62,273.1
Bruce Lietzke,1987,4.05,4.68,264.8
D.A. Weibring,1987,4.04,4.75,256.5
Wayne Levi,1987,4.04,4.7,258.5
David Edwards,1987,4.06,4.7,253.0
Bob Tway,1987,4.05,4.7,264.2
J.C. Snead,1987,4.05,4.77,261.6
Curt Byrum,1987,4.04,4.69,272.8
Mike Nicolette,1987,4.08,4.77,261.3
Jay Don Blake,1987,4.04,4.69,275.2
Jim Carter,1987,4.05,4.77,268.9
Dave Rummells,1987,4.04,4.67,269.5
Doug Tewell,1987,4.06,4.78,260.0
Bobby Clampett,1987,4.05,4.75,264.2
Tim Simpson,1987,4.04,4.71,261.0
Dewey Arnette,1987,4.07,4.8,266.4
Tom Purtzer,1987,4.05,4.63,269.0
Chris Perry,1987,4.04,4.75,258.1
Jodie Mudd,1987,4.05,4.69,273.3
Jeff Sluman,1987,4.04,4.68,262.6
Ron Streck,1987,4.05,4.75,257.6
Ronnie Black,1987,4.05,4.65,265.2
Sandy Lyle,1987,4.10,4.7,267.0
Ken Green,1987,4.06,4.66,266.8
Roger Maltbie,1987,4.06,4.72,263.4
Denis Watson,1987,4.06,4.75,265.2
George Burns,1987,4.05,4.71,267.5
Davis Love III,1987,4.06,4.63,281.5
Buddy Gardner,1987,4.05,4.72,264.1
Robert Thompson,1987,4.07,4.83,253.3
Rick Fehr,1987,4.10,4.82,254.9
Russ Cochran,1987,4.05,4.73,270.5
Peter Jacobsen,1987,4.07,4.7,261.9
Howard Twitty,1987,4.06,4.74,259.9
Willie Wood,1987,4.06,4.78,256.8
Andy Bean,1987,4.11,4.77,269.8
Tony Sills,1987,4.07,4.81,258.9
Brad Faxon,1987,4.06,4.69,264.6
Bill Glasson,1987,4.07,4.7,275.1
Andrew Magee,1987,4.06,4.74,268.9
Mac O'Grady,1987,4.08,4.66,278.2
David Graham,1987,4.11,4.77,264.7
Mike McCullough,1987,4.09,4.8,260.6
Donnie Hammond,1987,4.08,4.71,267.0
Gene Sauers,1987,4.06,4.63,263.6
Ted Schulz,1987,4.09,4.92,269.7
Joey Sindelar,1987,4.06,4.72,280.3
Jim Simons,1987,4.12,4.9,248.6
Keith Clearwater,1987,4.06,4.77,262.6
Andy North,1987,4.11,4.77,261.6
Dave Stockton,1987,4.11,4.81,244.6
Tony Grimes,1987,4.10,4.88,263.8
Gary Koch,1987,4.10,4.78,257.7
Bob Eastwood,1987,4.08,4.66,260.2
Lon Hinkle,1987,4.10,4.8,270.8
Kenny Perry,1987,4.09,4.69,271.8
Bill Rogers,1987,4.09,4.92,253.4
Dave Eichelberger,1987,4.08,4.81,265.4
Larry Rinker,1987,4.08,4.71,263.9
Clarence Rose,1987,4.06,4.75,268.3
Sam Randolph,1987,4.10,4.7,271.6
Bobby Cole,1987,4.08,4.82,262.0
Morris Hatalsky,1987,4.09,4.78,248.7
Robert Wrenn,1987,4.10,4.7,260.7
Tom Byrum,1987,4.07,4.75,255.1
Gary Hallberg,1987,4.08,4.72,265.3
"Don Shirey, Jr.",1987,4.09,4.79,266.1
Lennie Clements,1987,4.10,4.75,254.4
Mike Smith,1987,4.10,4.88,262.4
Scott Verplank,1987,4.09,4.81,263.6
Bill Britton,1987,4.09,4.73,258.4
Dan Halldorson,1987,4.09,4.68,258.1
Vance Heafner,1987,4.09,4.79,256.0
Bob Murphy,1987,4.10,4.83,244.2
Aki Ohmachi,1987,4.10,4.71,260.6
Loren Roberts,1987,4.10,4.79,253.3
Mark Lye,1987,4.08,4.79,256.8
Rex Caldwell,1987,4.12,4.72,261.3
Harry Taylor,1987,4.10,4.79,257.3
Steve Jones,1987,4.09,4.72,267.9
Rocco Mediate,1987,4.08,4.75,267.7
Antonio Cerda,1987,4.09,4.81,257.7
Brad Fabel,1987,4.11,4.76,256.9
John Inman,1987,4.09,4.74,254.3
Mark Pfeil,1987,4.15,4.83,252.2
Andy Dillard,1987,4.11,4.76,263.1
Mike Hulbert,1987,4.08,4.78,265.4
Kenny Knox,1987,4.09,4.77,257.5
Blaine McCallister,1987,4.08,4.78,266.4
Mike Sullivan,1987,4.10,4.75,265.3
"Ray Barr, Jr.",1987,4.11,4.83,255.9
Gary Krueger,1987,4.13,4.79,260.2
Mike Donald,1987,4.08,4.82,260.5
Bruce Soulsby,1987,4.10,4.7,263.2
David Canipe,1987,4.11,4.72,255.0
Leonard Thompson,1987,4.09,4.81,258.9
Jim Thorpe,1987,4.18,4.81,261.4
Charles Bolling,1987,4.09,4.83,257.6
Trevor Dodds,1987,4.12,4.7,269.4
Bob Gilder,1987,4.09,4.71,262.4
Denny Hepler,1987,4.16,4.7,271.2
Tim Norris,1987,4.10,4.82,250.9
Mark Wiebe,1987,4.08,4.81,259.9
Bob Lohr,1987,4.09,4.8,257.1
Bill Sander,1987,4.10,4.73,273.7
Mark Brooks,1987,4.11,4.8,254.7
John Riegger,1987,4.18,4.84,266.2
Mark Hayes,1987,4.09,4.76,261.7
David Ogrin,1987,4.11,4.81,256.7
Perry Arthur,1987,4.14,4.76,266.4
Barry Jaeckel,1987,4.10,4.76,261.4
Billy Kratzert,1987,4.12,4.79,260.1
John Adams,1987,4.10,4.72,268.8
Brian Claar,1987,4.10,4.75,258.3
David Hobby,1987,4.16,4.9,254.9
Hubert Green,1987,4.15,4.79,246.0
Dan Forsman,1987,4.09,4.73,272.4
Duffy Waldorf,1987,4.12,4.72,269.1
Phil Blackmar,1987,4.10,4.66,273.5
John McComish,1987,4.14,4.65,283.9
Ray Stewart,1987,4.12,4.76,265.4
Jay Delsing,1987,4.11,4.74,267.7
Steve Elkington,1987,4.11,4.76,261.5
Brad Greer,1987,4.14,4.81,274.3
Philip Jonas,1987,4.18,4.94,255.2
Jeff Lewis,1987,4.18,4.94,266.5
Brett Upper,1987,4.14,4.84,254.7
John Horne,1987,4.19,4.83,264.9
Pat McGowan,1987,4.12,4.74,254.4
Doug Johnson,1987,4.16,4.95,254.0
David Peoples,1987,4.17,4.84,262.3
Mike Bender,1987,4.15,4.85,259.7
Jim Wilson,1987,4.20,4.93,252.3
Tom Sieckmann,1987,4.14,4.8,268.3
Tom Garner,1987,4.16,4.81,249.9
Fred Wadsworth,1987,4.13,4.77,263.1
Rick Dalpos,1987,4.15,4.79,269.1
Jim Nelford,1987,4.19,4.77,257.7
"Jim Gallagher, Jr.",1987,4.14,4.74,270.1
Ernie Gonzalez,1987,4.15,4.77,268.2
Ted Lehmann,1987,4.24,4.97,264.1
Woody Blackburn,1987,4.29,5.03,253.9
Scott Hoch,1988,3.95,4.62,258.2
Fred Couples,1988,3.95,4.61,272.6
Tom Kite,1988,3.96,4.63,259.4
Payne Stewart,1988,3.97,4.61,270.9
Doug Tewell,1988,3.96,4.63,257.8
Dave Barr,1988,3.97,4.7,265.5
Chip Beck,1988,3.97,4.54,270.1
Ben Crenshaw,1988,3.98,4.7,262.6
Greg Norman,1988,3.97,4.62,279.4
Tommy Nakajima,1988,3.98,4.62,264.4
Dave Rummells,1988,3.99,4.65,270.1
Curtis Strange,1988,3.99,4.62,257.9
Calvin Peete,1988,3.99,4.68,254.9
Larry Nelson,1988,3.99,4.64,264.1
Jeff Sluman,1988,4.00,4.74,261.6
John Mahaffey,1988,4.00,4.61,268.7
Tom Purtzer,1988,4.00,4.65,273.4
Paul Azinger,1988,4.00,4.66,266.6
Bob Lohr,1988,4.00,4.72,260.5
Gene Sauers,1988,4.00,4.57,269.4
Ken Green,1988,4.01,4.53,271.3
Bruce Lietzke,1988,4.01,4.58,264.7
Ed Fiori,1988,4.01,4.68,255.0
Wayne Levi,1988,4.01,4.67,258.6
Tim Simpson,1988,4.01,4.7,261.3
Mark Calcavecchia,1988,4.01,4.65,275.5
Mark McCumber,1988,4.01,4.57,268.4
Sam Randolph,1988,4.01,4.7,270.8
David Frost,1988,4.01,4.59,266.8
Lanny Wadkins,1988,4.01,4.64,256.9
Tom Watson,1988,4.02,4.63,272.1
Larry Mize,1988,4.02,4.71,255.6
Bobby Wadkins,1988,4.01,4.63,267.6
D.A. Weibring,1988,4.02,4.73,257.1
Wayne Grady,1988,4.02,4.77,258.7
Gary Koch,1988,4.02,4.74,262.9
Sandy Lyle,1988,4.02,4.63,273.5
Jay Haas,1988,4.02,4.63,260.1
Gil Morgan,1988,4.02,4.62,270.4
John Cook,1988,4.02,4.73,254.5
Donnie Hammond,1988,4.02,4.69,269.7
Tim Norris,1988,4.02,4.75,249.6
Steve Pate,1988,4.02,4.62,270.1
Mike Reid,1988,4.02,4.75,253.5
John Adams,1988,4.03,4.7,276.1
Don Pooley,1988,4.03,4.7,255.2
Raymond Floyd,1988,4.03,4.73,261.1
Fuzzy Zoeller,1988,4.03,4.65,267.6
"Jim Gallagher, Jr.",1988,4.03,4.71,272.1
